date,year,month,population,rainfall_mm,temperature_c,inflow_mcm,losses_mcm,supply_mcm,domestic_demand_mcm,agricultural_demand_mcm,industrial_demand_mcm,total_demand_mcm,storage_mcm,stress_index_demand_over_supply,stress_index_demand_over_storage,scenario
2001-11-01,2001,11,703724,87.17,12.81,12.691,1.182,11.509,2.317,3.486,3.678,9.48,0.0,0.824,9480439.592,virtual_water
2001-12-01,2001,12,705678,83.46,15.28,14.473,1.286,13.187,2.417,9.311,3.948,15.676,2.028,1.189,7.729,virtual_water
2002-01-01,2002,1,707632,84.86,17.39,14.808,1.481,13.327,2.504,15.273,4.109,21.886,0.0,1.642,21886348.239,virtual_water
2002-02-01,2002,2,709653,81.09,19.79,14.139,1.475,12.664,2.603,19.504,3.284,25.391,0.0,2.005,25391252.479,virtual_water
2002-03-01,2002,3,711674,78.89,21.6,14.76,1.551,13.209,2.68,20.935,3.56,27.175,0.0,2.057,27174825.496,virtual_water
2002-04-01,2002,4,713695,59.39,23.17,10.875,1.617,9.259,2.748,24.043,3.248,30.04,0.0,3.245,30039794.389,virtual_water
2002-05-01,2002,5,715716,42.45,22.89,7.628,1.605,6.023,2.745,23.732,3.348,29.825,0.0,4.952,29825066.321,virtual_water
2002-06-01,2002,6,717737,29.86,20.83,6.27,1.519,4.751,2.673,16.898,3.384,22.956,0.0,4.832,22956155.214,virtual_water
2002-07-01,2002,7,719758,45.7,19.61,5.937,1.468,4.47,2.634,12.822,3.278,18.734,0.0,4.191,18733532.465,virtual_water
2002-08-01,2002,8,721778,19.81,15.94,5.138,1.314,3.824,2.498,10.124,3.279,15.901,0.0,4.158,15900968.508,virtual_water
2002-09-01,2002,9,723799,31.35,12.09,4.963,1.152,3.811,2.355,5.707,3.506,11.567,0.0,3.035,11567087.672,virtual_water
2002-10-01,2002,10,725820,45.23,12.34,7.069,1.162,5.907,2.371,4.526,3.238,10.135,0.0,1.716,10134903.919,virtual_water
2002-11-01,2002,11,727841,79.89,12.54,13.432,1.171,12.262,2.385,7.614,3.753,13.752,0.0,1.122,13751569.304,virtual_water
2002-12-01,2002,12,729862,98.86,14.83,15.807,1.267,14.54,2.482,9.634,3.313,15.429,0.0,1.061,15429052.645,virtual_water
2003-01-01,2003,1,731883,88.63,18.24,17.696,1.41,16.286,2.624,14.957,4.265,21.847,0.0,1.341,21846559.627,virtual_water
2003-02-01,2003,2,733973,75.23,21.59,13.688,1.551,12.138,2.764,22.481,3.45,28.695,0.0,2.364,28694902.813,virtual_water
2003-03-01,2003,3,736063,62.61,23.01,10.597,1.611,8.987,2.829,22.676,3.581,29.085,0.0,3.237,29085156.05,virtual_water
2003-04-01,2003,4,738153,62.81,24.94,11.037,1.692,9.345,2.913,23.331,3.239,29.483,0.0,3.155,29483061.44,virtual_water
2003-05-01,2003,5,740243,46.42,22.37,8.123,1.584,6.539,2.819,23.446,3.99,30.254,0.0,4.627,30253990.747,virtual_water
2003-06-01,2003,6,742333,31.21,21.1,5.658,1.53,4.128,2.776,19.755,3.843,26.373,0.0,6.388,26373347.639,virtual_water
2003-07-01,2003,7,744424,12.01,20.17,3.428,1.491,1.937,2.746,13.536,3.637,19.919,0.0,10.286,19919407.201,virtual_water
2003-08-01,2003,8,746514,27.48,15.27,4.441,1.285,3.156,2.556,7.869,3.226,13.652,0.0,4.326,13651855.724,virtual_water
2003-09-01,2003,9,748604,38.9,14.04,5.71,1.234,4.476,2.514,8.176,3.616,14.305,0.0,3.196,14305249.997,virtual_water
2003-10-01,2003,10,750694,57.62,12.16,9.891,1.155,8.736,2.445,4.44,3.283,10.168,0.0,1.164,10167723.292,virtual_water
2003-11-01,2003,11,752784,82.96,13.36,14.114,1.205,12.908,2.5,4.525,3.929,10.954,0.0,0.849,10953932.6,virtual_water
2003-12-01,2003,12,754874,87.99,15.04,16.284,1.276,15.008,2.576,10.207,3.765,16.548,1.955,1.103,8.467,virtual_water
2004-01-01,2004,1,756964,98.15,17.98,17.066,1.505,15.561,2.703,14.093,3.608,20.404,0.414,1.311,49.3,virtual_water
2004-02-01,2004,2,759126,86.12,20.5,16.793,1.557,15.236,2.814,19.001,2.975,24.789,0.0,1.627,24789379.719,virtual_water
2004-03-01,2004,3,761288,75.97,23.66,12.323,1.638,10.685,2.952,23.698,3.338,29.988,0.0,2.806,29987705.802,virtual_water
2004-04-01,2004,4,763449,62.58,23.44,11.4,1.628,9.771,2.951,22.834,3.756,29.541,0.0,3.023,29540941.643,virtual_water
2004-05-01,2004,5,765611,20.01,23.85,5.043,1.646,3.398,2.977,23.446,3.887,30.31,0.0,8.921,30309752.854,virtual_water
2004-06-01,2004,6,767773,20.85,21.99,3.701,1.568,2.133,2.908,21.6,3.861,28.369,0.0,13.299,28368672.604,virtual_water
2004-07-01,2004,7,769934,14.36,18.41,2.396,1.417,0.979,2.767,14.783,3.186,20.737,0.0,21.185,20736795.618,virtual_water
2004-08-01,2004,8,772096,17.02,14.89,2.706,1.269,1.437,2.628,8.693,3.659,14.98,0.0,10.428,14980236.446,virtual_water
2004-09-01,2004,9,774258,34.2,13.29,6.589,1.202,5.387,2.569,4.817,3.838,11.223,0.0,2.084,11223133.765,virtual_water
2004-10-01,2004,10,776420,72.94,11.87,10.595,1.143,9.452,2.516,3.572,3.169,9.257,0.0,0.979,9257496.576,virtual_water
2004-11-01,2004,11,778582,62.11,13.67,11.769,1.218,10.551,2.599,5.12,3.582,11.302,0.195,1.071,58.096,virtual_water
2004-12-01,2004,12,780743,96.93,13.65,14.949,1.247,13.702,2.606,8.691,3.652,14.949,0.0,1.091,14948715.785,virtual_water
2005-01-01,2005,1,782905,52.35,17.88,11.563,1.395,10.168,2.792,15.38,3.53,21.701,0.0,2.134,21700909.217,virtual_water
2005-02-01,2005,2,785141,60.97,19.56,10.222,1.465,8.757,2.871,17.3,3.142,23.313,0.0,2.662,23312658.781,virtual_water
2005-03-01,2005,3,787377,55.84,22.15,10.4,1.574,8.826,2.989,24.148,3.524,30.66,0.0,3.474,30660398.81,virtual_water
2005-04-01,2005,4,789612,46.53,25.24,9.563,1.704,7.859,3.129,24.024,3.523,30.677,0.0,3.903,30676798.213,virtual_water
2005-05-01,2005,5,791848,34.53,24.06,7.99,1.655,6.335,3.088,23.566,3.568,30.221,0.0,4.77,30221482.598,virtual_water
2005-06-01,2005,6,794084,25.66,20.57,5.203,1.508,3.695,2.947,18.028,3.464,24.439,0.0,6.614,24438606.823,virtual_water
2005-07-01,2005,7,796320,11.86,16.95,3.272,1.356,1.916,2.799,15.874,3.494,22.168,0.0,11.571,22167820.989,virtual_water
2005-08-01,2005,8,798556,14.36,12.78,1.461,1.181,0.28,2.627,10.675,3.595,16.897,0.0,60.366,16897109.081,virtual_water
2005-09-01,2005,9,800792,35.85,12.52,5.075,1.17,3.905,2.623,6.598,3.716,12.937,0.0,3.313,12937078.865,virtual_water
2005-10-01,2005,10,803028,39.53,14.09,7.476,1.236,6.241,2.699,2.262,3.529,8.49,0.0,1.36,8489890.691,virtual_water
2005-11-01,2005,11,805263,42.89,13.3,8.023,1.203,6.82,2.672,6.441,3.503,12.616,0.0,1.85,12616174.205,virtual_water
2005-12-01,2005,12,807499,53.78,14.7,9.01,1.261,7.748,2.741,9.666,3.628,16.035,0.0,2.069,16034506.578,virtual_water
2006-01-01,2006,1,809735,78.97,18.55,13.206,1.423,11.783,2.917,12.41,3.146,18.472,0.0,1.568,18471957.488,virtual_water
2006-02-01,2006,2,812047,91.28,19.93,15.72,1.481,14.239,2.985,19.427,3.745,26.157,0.0,1.837,26157420.114,virtual_water
2006-03-01,2006,3,814360,74.21,23.14,14.843,1.616,13.227,3.135,23.642,3.626,30.402,0.0,2.298,30402251.908,virtual_water
2006-04-01,2006,4,816672,63.29,24.26,11.88,1.663,10.217,3.193,25.243,3.636,32.072,0.0,3.139,32072415.592,virtual_water
2006-05-01,2006,5,818985,32.37,23.31,7.004,1.623,5.381,3.16,23.417,3.866,30.443,0.0,5.658,30443124.743,virtual_water
2006-06-01,2006,6,821297,26.59,21.81,5.226,1.56,3.666,3.103,19.805,3.138,26.046,0.0,7.106,26046037.11,virtual_water
2006-07-01,2006,7,823610,27.51,18.46,2.421,1.419,1.002,2.962,16.104,3.133,22.199,0.0,22.153,22199075.419,virtual_water
2006-08-01,2006,8,825922,20.98,15.71,4.32,1.304,3.016,2.848,10.687,3.694,17.23,0.0,5.713,17229958.249,virtual_water
2006-09-01,2006,9,828234,42.98,12.43,3.448,1.166,2.282,2.709,2.027,3.624,8.361,0.0,3.665,8361131.434,virtual_water
2006-10-01,2006,10,830547,47.06,12.9,6.642,1.186,5.456,2.738,3.715,3.669,10.122,0.0,1.855,10121519.141,virtual_water
2006-11-01,2006,11,832859,68.14,14.29,11.179,1.244,9.935,2.808,5.27,3.51,11.589,0.0,1.166,11588768.884,virtual_water
2006-12-01,2006,12,835172,80.73,14.4,13.849,1.249,12.6,2.821,7.113,3.792,13.727,0.0,1.089,13726619.806,virtual_water
2007-01-01,2007,1,837484,75.65,17.5,12.575,1.379,11.197,2.969,14.505,3.88,21.354,0.0,1.907,21354052.212,virtual_water
2007-02-01,2007,2,839876,91.15,22.28,14.568,1.58,12.989,3.194,21.031,3.768,27.993,0.0,2.155,27992589.725,virtual_water
2007-03-01,2007,3,842267,66.87,23.25,14.073,1.621,12.453,3.248,21.991,3.582,28.82,0.0,2.314,28820153.394,virtual_water
2007-04-01,2007,4,844659,55.15,25.33,9.879,1.708,8.171,3.352,25.076,3.12,31.547,0.0,3.861,31547352.215,virtual_water
2007-05-01,2007,5,847051,43.27,23.05,9.99,1.612,8.378,3.257,22.196,3.839,29.292,0.0,3.496,29291813.995,virtual_water
2007-06-01,2007,6,849442,30.05,22.37,5.951,1.584,4.367,3.235,18.726,3.952,25.913,0.0,5.934,25912981.424,virtual_water
2007-07-01,2007,7,851834,27.98,18.32,5.332,1.413,3.919,3.057,16.165,3.808,23.03,0.0,5.877,23030260.501,virtual_water
2007-08-01,2007,8,854226,23.51,15.42,5.642,1.291,4.351,2.932,8.601,3.427,14.96,0.0,3.438,14960144.866,virtual_water
2007-09-01,2007,9,856617,32.42,14.27,5.31,1.243,4.067,2.887,6.044,3.815,12.746,0.0,3.134,12746456.281,virtual_water
2007-10-01,2007,10,859009,54.04,11.92,7.521,1.145,6.376,2.786,1.867,3.862,8.515,0.0,1.336,8515047.181,virtual_water
2007-11-01,2007,11,861401,52.25,12.26,9.15,1.159,7.991,2.81,7.724,4.037,14.571,0.0,1.823,14570710.706,virtual_water
2007-12-01,2007,12,863792,67.95,14.85,11.038,1.268,9.77,2.939,9.975,3.428,16.342,0.0,1.673,16341743.274,virtual_water
2008-01-01,2008,1,866184,74.13,18.6,11.556,1.425,10.131,3.122,14.229,3.611,20.963,0.0,2.069,20962546.587,virtual_water
2008-02-01,2008,2,868658,73.34,19.99,12.672,1.483,11.188,3.196,20.299,3.855,27.35,0.0,2.445,27349541.761,virtual_water
2008-03-01,2008,3,871131,77.3,23.95,12.726,1.65,11.076,3.391,21.694,3.682,28.767,0.0,2.597,28767343.996,virtual_water
2008-04-01,2008,4,873605,44.13,23.81,10.204,1.644,8.56,3.395,26.187,3.389,32.97,0.0,3.852,32970257.996,virtual_water
2008-05-01,2008,5,876079,32.96,24.35,6.383,1.667,4.716,3.43,22.997,3.772,30.198,0.0,6.404,30198222.247,virtual_water
2008-06-01,2008,6,878552,40.28,19.32,6.439,1.456,4.983,3.201,19.363,3.813,26.377,0.0,5.293,26376811.064,virtual_water
2008-07-01,2008,7,881026,15.72,17.61,3.956,1.384,2.572,3.129,13.858,3.69,20.677,0.0,8.038,20676509.092,virtual_water
2008-08-01,2008,8,883500,33.54,13.89,5.113,1.227,3.885,2.96,8.591,3.723,15.274,0.0,3.931,15273929.907,virtual_water
2008-09-01,2008,9,885973,26.3,12.38,5.476,1.164,4.312,2.896,6.344,3.603,12.844,0.0,2.979,12843503.752,virtual_water
2008-10-01,2008,10,888447,52.53,12.44,7.016,1.166,5.85,2.907,4.435,4.038,11.379,0.0,1.945,11379352.803,virtual_water
2008-11-01,2008,11,890921,61.1,12.9,9.41,1.186,8.224,2.937,6.293,3.443,12.673,0.0,1.541,12672573.134,virtual_water
2008-12-01,2008,12,893394,81.24,15.04,14.044,1.276,12.768,3.048,9.277,3.521,15.847,0.0,1.241,15846889.306,virtual_water
2009-01-01,2009,1,895868,100.08,18.14,16.196,1.406,14.79,3.207,15.12,3.692,22.019,0.0,1.489,22018526.78,virtual_water
2009-02-01,2009,2,898426,64.58,21.43,12.032,1.544,10.488,3.376,19.181,3.909,26.466,0.0,2.523,26465836.287,virtual_water
2009-03-01,2009,3,900985,77.71,22.66,13.266,1.596,11.67,3.445,26.152,3.315,32.911,0.0,2.82,32911365.903,virtual_water
2009-04-01,2009,4,903543,57.85,24.84,11.538,1.687,9.851,3.561,22.982,3.361,29.905,0.0,3.036,29904877.047,virtual_water
2009-05-01,2009,5,906102,30.37,24.0,5.533,1.652,3.881,3.53,24.989,3.18,31.699,0.0,8.167,31698705.233,virtual_water
2009-06-01,2009,6,908660,7.34,21.58,2.677,1.55,1.126,3.421,21.325,3.697,28.444,0.0,25.251,28443961.142,virtual_water
2009-07-01,2009,7,911218,20.87,18.72,3.53,1.43,2.1,3.29,13.481,3.409,20.181,0.0,9.612,20180897.818,virtual_water
2009-08-01,2009,8,913777,18.34,15.51,3.641,1.295,2.346,3.141,11.999,3.593,18.733,0.0,7.986,18732993.158,virtual_water
2009-09-01,2009,9,916335,40.29,14.7,6.404,1.261,5.142,3.11,6.727,3.854,13.691,0.0,2.662,13690861.93,virtual_water
2009-10-01,2009,10,918894,55.26,12.2,7.762,1.156,6.605,2.995,5.309,3.529,11.832,0.0,1.791,11832487.236,virtual_water
2009-11-01,2009,11,921452,91.72,12.83,14.402,1.183,13.219,3.034,5.566,3.747,12.347,0.0,0.934,12346508.603,virtual_water
2009-12-01,2009,12,924011,82.44,14.67,14.672,1.26,13.412,3.134,9.063,3.614,15.812,0.873,1.179,18.119,virtual_water
2010-01-01,2010,1,926569,77.72,17.47,13.462,1.448,12.015,3.283,14.309,3.878,21.47,0.0,1.787,21470132.726,virtual_water
2010-02-01,2010,2,929215,87.46,20.3,15.491,1.497,13.994,3.435,20.229,3.829,27.492,0.0,1.965,27492204.472,virtual_water
2010-03-01,2010,3,931861,75.14,22.79,14.98,1.601,13.379,3.569,25.248,3.537,32.355,0.0,2.418,32354500.797,virtual_water
2010-04-01,2010,4,934507,71.31,24.24,14.116,1.662,12.454,3.653,25.178,3.668,32.499,0.0,2.61,32498538.998,virtual_water
2010-05-01,2010,5,937153,47.52,23.76,10.617,1.642,8.975,3.639,22.473,3.971,30.083,0.0,3.352,30083052.209,virtual_water
2010-06-01,2010,6,939799,28.97,21.34,5.956,1.54,4.416,3.527,20.749,3.808,28.084,0.0,6.36,28084167.822,virtual_water
2010-07-01,2010,7,942446,37.56,17.69,6.404,1.387,5.017,3.351,15.665,3.361,22.377,0.0,4.46,22376654.613,virtual_water
2010-08-01,2010,8,945092,10.42,16.02,3.862,1.317,2.545,3.275,10.146,3.874,17.294,0.0,6.794,17294320.447,virtual_water
2010-09-01,2010,9,947738,29.82,13.7,4.298,1.219,3.078,3.165,6.448,3.439,13.052,0.0,4.24,13051798.549,virtual_water
2010-10-01,2010,10,950384,43.88,12.17,7.046,1.155,5.891,3.096,3.835,4.063,10.994,0.0,1.866,10993701.548,virtual_water
2010-11-01,2010,11,953030,67.82,12.58,11.271,1.172,10.099,3.125,4.439,3.966,11.53,0.0,1.142,11529940.263,virtual_water
2010-12-01,2010,12,955676,68.79,15.74,11.94,1.305,10.635,3.297,8.318,3.782,15.398,0.0,1.448,15397617.041,virtual_water
2011-01-01,2011,1,958322,73.22,18.48,11.997,1.42,10.577,3.448,12.653,3.77,19.872,0.0,1.879,19871736.814,virtual_water
2011-02-01,2011,2,961059,61.98,20.17,11.105,1.491,9.614,3.546,20.12,3.679,27.345,0.0,2.844,27344675.743,virtual_water
2011-03-01,2011,3,963796,41.14,23.47,8.801,1.63,7.171,3.727,23.557,3.901,31.185,0.0,4.349,31185252.13,virtual_water
2011-04-01,2011,4,966532,32.11,24.54,6.096,1.675,4.421,3.794,24.528,3.638,31.96,0.0,7.229,31960093.553,virtual_water
2011-05-01,2011,5,969269,30.95,22.81,5.749,1.602,4.147,3.714,20.111,3.79,27.614,0.0,6.659,27614252.281,virtual_water
2011-06-01,2011,6,972006,26.06,21.48,5.353,1.546,3.807,3.655,18.339,3.949,25.943,0.0,6.815,25942963.879,virtual_water
2011-07-01,2011,7,974742,32.97,17.17,5.107,1.365,3.742,3.438,15.961,3.591,22.989,0.0,6.143,22989445.315,virtual_water
2011-08-01,2011,8,977479,44.74,16.4,7.817,1.333,6.484,3.407,8.598,3.577,15.582,0.0,2.403,15582445.791,virtual_water
2011-09-01,2011,9,980216,31.85,14.13,6.554,1.238,5.317,3.297,6.007,3.432,12.736,0.0,2.396,12736415.272,virtual_water
2011-10-01,2011,10,982953,32.34,12.13,4.647,1.153,3.493,3.199,2.507,3.465,9.171,0.0,2.625,9171482.242,virtual_water
2011-11-01,2011,11,985690,35.19,13.42,7.162,1.208,5.954,3.277,7.301,3.274,13.852,0.0,2.326,13852389.112,virtual_water
2011-12-01,2011,12,988426,66.39,13.4,9.58,1.207,8.373,3.285,9.223,3.913,16.422,0.0,1.961,16421866.545,virtual_water
2012-01-01,2012,1,991163,80.24,17.43,11.992,1.376,10.615,3.51,15.02,4.204,22.734,0.0,2.142,22734465.753,virtual_water
2012-02-01,2012,2,993994,80.33,21.12,13.217,1.531,11.686,3.718,22.703,4.108,30.53,0.0,2.613,30529547.209,virtual_water
2012-03-01,2012,3,996824,65.15,22.7,11.382,1.597,9.784,3.814,25.568,3.345,32.727,0.0,3.345,32726718.443,virtual_water
2012-04-01,2012,4,999655,53.31,24.93,9.993,1.691,8.302,3.945,24.784,3.933,32.662,0.0,3.934,32662273.351,virtual_water
2012-05-01,2012,5,1002485,50.29,25.15,8.74,1.7,7.04,3.968,23.036,4.108,31.112,0.0,4.419,31111760.73,virtual_water
2012-06-01,2012,6,1005316,26.57,20.42,5.626,1.502,4.125,3.722,19.521,3.638,26.881,0.0,6.517,26881435.458,virtual_water
2012-07-01,2012,7,1008146,18.1,17.69,4.108,1.387,2.721,3.584,15.284,3.777,22.645,0.0,8.323,22645463.228,virtual_water
2012-08-01,2012,8,1010977,12.26,15.55,2.724,1.297,1.427,3.477,9.306,3.25,16.033,0.0,11.236,16033124.996,virtual_water
2012-09-01,2012,9,1013808,17.4,14.45,3.029,1.251,1.778,3.427,5.122,3.819,12.368,0.0,6.958,12367567.869,virtual_water
2012-10-01,2012,10,1016638,49.16,11.38,7.264,1.122,6.142,3.268,5.953,3.486,12.707,0.0,2.069,12706845.817,virtual_water
2012-11-01,2012,11,1019469,71.85,13.36,11.876,1.205,10.671,3.386,5.459,3.802,12.647,0.0,1.185,12647183.52,virtual_water
2012-12-01,2012,12,1022299,106.53,16.82,15.135,1.35,13.785,3.586,12.192,3.362,19.14,0.0,1.388,19139554.262,virtual_water
2013-01-01,2013,1,1025130,91.56,17.07,16.518,1.361,15.157,3.61,14.837,3.909,22.356,0.0,1.475,22355808.994,virtual_water
2013-02-01,2013,2,1028058,97.1,20.37,14.958,1.499,13.459,3.804,22.13,4.029,29.963,0.0,2.226,29963032.125,virtual_water
2013-03-01,2013,3,1030985,66.51,23.25,13.274,1.62,11.654,3.975,24.267,3.577,31.819,0.0,2.73,31819385.682,virtual_water
2013-04-01,2013,4,1033913,40.78,23.97,8.484,1.651,6.833,4.027,26.404,3.489,33.919,0.0,4.964,33918967.148,virtual_water
2013-05-01,2013,5,1036840,25.92,24.24,6.152,1.662,4.491,4.053,22.969,3.234,30.256,0.0,6.738,30255803.651,virtual_water
2013-06-01,2013,6,1039768,15.99,21.58,4.269,1.55,2.719,3.915,18.963,3.706,26.585,0.0,9.779,26585130.248,virtual_water
2013-07-01,2013,7,1042696,45.54,16.97,6.58,1.357,5.224,3.667,15.28,3.628,22.574,0.0,4.321,22573762.891,virtual_water
2013-08-01,2013,8,1045623,14.83,15.8,3.808,1.308,2.5,3.611,10.654,3.385,17.65,0.0,7.06,17650385.049,virtual_water
2013-09-01,2013,9,1048551,47.56,12.73,6.993,1.179,5.814,3.447,5.666,3.886,12.999,0.0,2.236,12999103.439,virtual_water
2013-10-01,2013,10,1051478,44.16,13.41,7.485,1.207,6.278,3.495,2.664,3.661,9.82,0.0,1.564,9820070.111,virtual_water
2013-11-01,2013,11,1054406,83.68,12.69,12.568,1.177,11.391,3.464,3.985,3.504,10.953,0.0,0.962,10953266.146,virtual_water
2013-12-01,2013,12,1057333,89.93,14.88,16.199,1.269,14.93,3.599,7.755,3.634,14.988,0.438,1.004,34.229,virtual_water
2014-01-01,2014,1,1060261,88.12,18.85,15.07,1.487,13.583,3.836,12.663,4.062,20.561,0.379,1.514,54.262,virtual_water
2014-02-01,2014,2,1063302,84.82,22.03,15.662,1.622,14.04,4.03,20.195,3.945,28.17,0.0,2.006,28169646.31,virtual_water
2014-03-01,2014,3,1066343,64.64,23.97,12.914,1.651,11.263,4.153,25.279,3.761,33.194,0.0,2.947,33193786.215,virtual_water
2014-04-01,2014,4,1069384,60.35,23.07,10.023,1.613,8.41,4.113,25.328,3.949,33.389,0.0,3.97,33389381.621,virtual_water
2014-05-01,2014,5,1072426,32.04,24.05,7.873,1.654,6.219,4.181,21.217,3.504,28.901,0.0,4.648,28901369.342,virtual_water
2014-06-01,2014,6,1075467,9.98,20.59,3.464,1.509,1.955,3.992,19.835,3.802,27.629,0.0,14.134,27629309.474,virtual_water
2014-07-01,2014,7,1078508,4.66,18.61,1.177,1.426,0.0,3.888,14.589,3.831,22.307,0.0,22307323.682,22307323.682,virtual_water
2014-08-01,2014,8,1081549,26.76,14.28,2.913,1.244,1.669,3.646,12.019,3.677,19.342,0.0,11.586,19341829.407,virtual_water
2014-09-01,2014,9,1084590,56.45,13.58,7.633,1.214,6.418,3.615,3.89,3.903,11.408,0.0,1.778,11408409.369,virtual_water
2014-10-01,2014,10,1087632,56.92,11.77,9.506,1.139,8.368,3.519,3.755,3.599,10.873,0.0,1.299,10873473.379,virtual_water
2014-11-01,2014,11,1090673,71.08,12.2,12.129,1.156,10.973,3.554,7.686,3.921,15.161,0.0,1.382,15161399.969,virtual_water
2014-12-01,2014,12,1093714,88.74,15.99,13.838,1.316,12.522,3.788,10.044,3.932,17.764,0.0,1.419,17764034.054,virtual_water
2015-01-01,2015,1,1096755,105.67,18.64,17.954,1.427,16.527,3.956,15.516,3.086,22.557,0.0,1.365,22557393.658,virtual_water
2015-02-01,2015,2,1099901,87.94,20.96,15.327,1.524,13.803,4.105,20.278,4.113,28.495,0.0,2.064,28494660.052,virtual_water
2015-03-01,2015,3,1103046,67.57,24.81,12.731,1.686,11.045,4.346,24.416,3.053,31.814,0.0,2.88,31814435.652,virtual_water
2015-04-01,2015,4,1106192,68.28,24.1,11.999,1.656,10.343,4.316,26.373,3.661,34.35,0.0,3.321,34349665.829,virtual_water
2015-05-01,2015,5,1109338,42.65,23.67,10.765,1.638,9.126,4.302,23.048,4.071,31.422,0.0,3.443,31422144.136,virtual_water
2015-06-01,2015,6,1112484,43.12,21.67,6.419,1.554,4.865,4.194,21.194,3.736,29.123,0.0,5.986,29123318.927,virtual_water
2015-07-01,2015,7,1115630,22.2,17.95,6.161,1.398,4.763,3.982,13.192,3.448,20.623,0.0,4.33,20623122.176,virtual_water
2015-08-01,2015,8,1118775,10.0,15.83,2.51,1.309,1.201,3.865,9.934,3.542,17.341,0.0,14.438,17340586.512,virtual_water
2015-09-01,2015,9,1121921,21.08,12.83,3.436,1.183,2.254,3.694,5.875,4.072,13.64,0.0,6.053,13640452.495,virtual_water
2015-10-01,2015,10,1125067,74.81,12.12,10.366,1.153,9.213,3.662,3.5,3.335,10.497,0.0,1.139,10496620.11,virtual_water
2015-11-01,2015,11,1128212,93.18,14.34,15.698,1.246,14.452,3.807,5.633,4.097,13.537,0.0,0.937,13537391.484,virtual_water
2015-12-01,2015,12,1131358,83.16,14.62,14.956,1.258,13.698,3.835,8.793,3.801,16.429,0.915,1.199,17.963,virtual_water
2016-01-01,2016,1,1134504,85.4,16.55,15.991,1.409,14.582,3.964,13.61,3.538,21.111,0.0,1.448,21111461.282,virtual_water
