date,year,month,population,rainfall_mm,temperature_c,evaporation_mcm,total_demand_mcm,storage_baseline_mcm,storage_rain_minus3_mcm,storage_rain_minus5_mcm,stress_baseline,stress_rain_minus3,stress_rain_minus5,delta_storage,supply_mcm,storage_original_mcm,storage_reconstructed_mcm
2001-12-01,2001,12,705678,93.1,15.14,0.303,15.247,59.80023227643612,7.565,6.954,1.798,2.016,2.193,7.258,22.505,8.481,59.80023227643612
2002-01-01,2002,1,707632,95.72,18.81,0.376,19.113,66.99137231742972,10.979,9.977,1.531,1.741,1.916,4.0,23.113,12.481,66.99137231742972
2002-02-01,2002,2,709653,91.12,20.47,0.409,26.102,75.20865737157052,10.987,9.584,1.994,2.376,2.724,0.6120000000000001,26.714,13.093,75.20865737157052
2002-03-01,2002,3,711674,85.32,23.49,0.47,31.679,82.24071350422759,3.037,1.251,5.542,10.431,25.332,-7.376,24.303,5.717,82.24071350422759
2002-04-01,2002,4,713695,63.65,24.04,0.481,33.307,78.71937237906691,0.0,0.0,33306687.7,33306687.7,33306687.7,-5.717,27.590000000000003,0.0,78.71937237906691
2002-05-01,2002,5,715716,44.13,23.48,0.47,32.169,71.83245374164844,0.0,0.0,32169492.43,32169492.43,32169492.43,0.0,32.169,0.0,71.83245374164844
2002-06-01,2002,6,717737,29.67,20.48,0.41,28.181,71.9767718536543,0.0,0.0,28180971.97,28180971.97,28180971.97,0.0,28.181,0.0,71.9767718536543
2002-07-01,2002,7,719758,41.42,16.95,0.339,21.46,67.47574483203209,0.0,0.0,21460392.89,21460392.89,21460392.89,0.0,21.46,0.0,67.47574483203209
2002-08-01,2002,8,721778,21.29,13.61,0.272,16.219,67.72566659083792,0.0,0.0,16218663.53,16218663.53,16218663.53,0.0,16.219,0.0,67.72566659083792
2002-09-01,2002,9,723799,34.88,12.08,0.242,10.277,67.9484144878522,0.0,0.0,10277061.73,10277061.73,10277061.73,0.0,10.277,0.0,67.9484144878522
2002-10-01,2002,10,725820,51.86,11.74,0.235,8.629,65.03565906787962,0.0,0.0,8628577.406,8628577.406,8628577.406,0.0,8.629,0.0,65.03565906787962
2002-11-01,2002,11,727841,86.16,12.66,0.253,11.124,65.43237636910996,1.701,1.483,5.486,6.54,7.5,2.028,13.152,2.028,65.43237636910996
2002-12-01,2002,12,729862,105.93,16.42,0.328,13.91,69.40366937054236,7.875,7.295,1.591,1.766,1.907,6.715999999999999,20.626,8.744,69.40366937054236
2003-01-01,2003,1,731883,98.86,18.86,0.377,22.525,72.25899764527566,15.214,14.189,1.345,1.481,1.587,8.007000000000001,30.532,16.751,72.25899764527566
2003-02-01,2003,2,733973,86.24,20.42,0.408,28.296,71.03490781039348,12.45,11.01,1.937,2.273,2.57,-2.141000000000002,26.155,14.61,71.03490781039348
2003-03-01,2003,3,736063,71.76,23.53,0.471,32.705,67.37923538039415,1.313,0.0,8.145,24.918,32705337.06,-10.594,22.111,4.016,67.37923538039415
2003-04-01,2003,4,738153,66.51,23.81,0.476,36.385,66.39832417574242,0.0,0.0,36385284.88,36385284.88,36385284.88,-4.016,32.369,0.0,66.39832417574242
2003-05-01,2003,5,740243,47.43,23.09,0.462,32.235,63.208153277491775,0.0,0.0,32234851.12,32234851.12,32234851.12,0.0,32.235,0.0,63.208153277491775
2003-06-01,2003,6,742333,30.79,21.22,0.424,30.405,61.38849091743491,0.0,0.0,30405432.74,30405432.74,30405432.74,0.0,30.405,0.0,61.38849091743491
2003-07-01,2003,7,744424,13.34,18.52,0.37,22.304,56.83797095574809,0.0,0.0,22303681.12,22303681.12,22303681.12,0.0,22.304,0.0,56.83797095574809
2003-08-01,2003,8,746514,27.68,14.85,0.297,14.387,57.92227363437216,0.0,0.0,14387397.74,14387397.74,14387397.74,0.0,14.387,0.0,57.92227363437216
2003-09-01,2003,9,748604,41.17,13.64,0.273,11.101,53.7266377537876,0.0,0.0,11100862.45,11100862.45,11100862.45,0.0,11.101,0.0,53.7266377537876
2003-10-01,2003,10,750694,62.19,11.29,0.226,8.479,60.656636191568936,0.0,0.0,8479147.912,8479147.912,8479147.912,0.0,8.479,0.0,60.656636191568936
2003-11-01,2003,11,752784,88.71,12.9,0.258,10.5,71.8251171961916,3.963,3.701,2.411,2.65,2.837,4.354,14.854,4.354,71.8251171961916
2003-12-01,2003,12,754874,96.88,16.91,0.338,16.138,72.52837480754205,11.276,10.642,1.32,1.431,1.517,7.872000000000001,24.01,12.226,72.52837480754205
2004-01-01,2004,1,756964,106.79,18.28,0.366,22.471,78.04077515736955,14.533,13.492,1.396,1.546,1.665,3.868,26.339,16.094,78.04077515736955
2004-02-01,2004,2,759126,95.32,22.12,0.442,28.299,74.25202842155512,13.45,11.96,1.804,2.104,2.366,-0.4110000000000013,27.888,15.683,74.25202842155512
2004-03-01,2004,3,761288,82.89,23.38,0.468,34.07,75.23814782285743,4.124,2.234,4.896,8.262,15.249,-8.725,25.345,6.958,75.23814782285743
2004-04-01,2004,4,763449,66.31,24.53,0.491,35.739,73.67369971421547,0.0,0.0,35739438.53,35739438.53,35739438.53,-6.958,28.781,0.0,73.67369971421547
2004-05-01,2004,5,765611,25.43,23.28,0.466,34.648,63.2802026110285,0.0,0.0,34647824.88,34647824.88,34647824.88,0.0,34.648,0.0,63.2802026110285
2004-06-01,2004,6,767773,22.16,21.0,0.42,28.938,58.21042249264926,0.0,0.0,28938487.59,28938487.59,28938487.59,0.0,28.938,0.0,58.21042249264926
2004-07-01,2004,7,769934,15.3,17.57,0.351,23.442,57.74722229538513,0.0,0.0,23441977.01,23441977.01,23441977.01,0.0,23.442,0.0,57.74722229538513
2004-08-01,2004,8,772096,18.97,15.42,0.308,14.129,57.09311704470635,0.0,0.0,14128713.93,14128713.93,14128713.93,0.0,14.129,0.0,57.09311704470635
2004-09-01,2004,9,774258,37.25,12.33,0.247,10.675,58.63783890518356,0.0,0.0,10675468.95,10675468.95,10675468.95,0.0,10.675,0.0,58.63783890518356
2004-10-01,2004,10,776420,74.95,12.59,0.252,8.837,54.11236316521344,0.0,0.0,8836665.845,8836665.845,8836665.845,0.0,8.837,0.0,54.11236316521344
2004-11-01,2004,11,778582,71.34,13.68,0.274,11.843,54.10981887025919,6.179,5.864,1.781,1.917,2.02,6.651,18.494,6.651,54.10981887025919
2004-12-01,2004,12,780743,104.32,15.38,0.308,15.446,61.58821982580015,8.594,7.98,1.623,1.797,1.936,2.865,18.311,9.516,61.58821982580015
2005-01-01,2005,1,782905,83.17,17.95,0.359,22.058,62.39890102897752,14.092,13.039,1.408,1.565,1.692,6.154999999999999,28.213,15.671,62.39890102897752
2005-02-01,2005,2,785141,91.29,21.47,0.429,30.437,63.59491938356773,8.617,7.215,2.839,3.532,4.218,-4.950999999999999,25.486000000000004,10.72,63.59491938356773
2005-03-01,2005,3,787377,81.63,23.13,0.463,33.009,64.35206104396698,0.0,0.0,33008963.18,33008963.18,33008963.18,-10.72,22.289,0.0,64.35206104396698
2005-04-01,2005,4,789612,65.86,24.8,0.496,35.376,66.15931201596396,0.0,0.0,35375638.97,35375638.97,35375638.97,0.0,35.376,0.0,66.15931201596396
2005-05-01,2005,5,791848,47.11,22.06,0.441,32.91,63.14535182628084,0.0,0.0,32909718.73,32909718.73,32909718.73,0.0,32.91,0.0,63.14535182628084
2005-06-01,2005,6,794084,33.29,20.92,0.418,28.917,54.044154424009676,0.0,0.0,28917327.24,28917327.24,28917327.24,0.0,28.917,0.0,54.044154424009676
2005-07-01,2005,7,796320,16.51,16.76,0.335,21.938,36.931675712969096,0.0,0.0,21937718.67,21937718.67,21937718.67,0.0,21.938,0.0,36.931675712969096
2005-08-01,2005,8,798556,20.74,14.1,0.282,16.604,25.643891904323034,0.0,0.0,16604291.09,16604291.09,16604291.09,0.0,16.604,0.0,25.643891904323034
2005-09-01,2005,9,800792,48.58,13.91,0.278,12.567,30.27454093471094,0.0,0.0,12566918.65,12566918.65,12566918.65,0.0,12.567,0.0,30.27454093471094
2005-10-01,2005,10,803028,58.09,12.78,0.256,11.494,34.678907691397754,0.0,0.0,11494299.22,11494299.22,11494299.22,0.0,11.494,0.0,34.678907691397754
2005-11-01,2005,11,805263,67.24,12.45,0.249,11.492,44.07117171113753,0.082,0.0,25.627,139.326,11491818.31,0.448,11.94,0.448,44.07117171113753
2005-12-01,2005,12,807499,83.31,14.1,0.282,16.868,54.328357216592394,2.039,1.674,5.963,8.272,10.075,2.381,19.249,2.829,54.328357216592394
2006-01-01,2006,1,809735,90.81,16.1,0.322,21.488,60.41331146001002,1.859,1.144,6.771,11.558,18.778,0.3449999999999997,21.833,3.174,60.41331146001002
2006-02-01,2006,2,812047,99.61,20.8,0.416,28.956,67.01246260445467,0.0,0.0,66.962,28956352.41,28956352.41,-2.742,26.214,0.432,67.01246260445467
2006-03-01,2006,3,814360,81.42,25.07,0.501,34.273,67.39596769084308,0.0,0.0,34272840.07,34272840.07,34272840.07,-0.432,33.841,0.0,67.39596769084308
2006-04-01,2006,4,816672,66.9,24.48,0.49,36.298,68.95499074902636,0.0,0.0,36298170.63,36298170.63,36298170.63,0.0,36.298,0.0,68.95499074902636
2006-05-01,2006,5,818985,35.73,22.98,0.46,33.824,63.1790338932213,0.0,0.0,33823895.19,33823895.19,33823895.19,0.0,33.824,0.0,63.1790338932213
2006-06-01,2006,6,821297,26.94,21.51,0.43,29.494,64.2099710226029,0.0,0.0,29494189.39,29494189.39,29494189.39,0.0,29.494,0.0,64.2099710226029
2006-07-01,2006,7,823610,26.26,17.09,0.342,22.982,62.2108096093171,0.0,0.0,22981571.68,22981571.68,22981571.68,0.0,22.982,0.0,62.2108096093171
2006-08-01,2006,8,825922,22.27,14.97,0.299,17.471,55.280948975682676,0.0,0.0,17471158.63,17471158.63,17471158.63,0.0,17.471,0.0,55.280948975682676
2006-09-01,2006,9,828234,44.57,13.05,0.261,11.968,36.92669952728069,0.0,0.0,11967773.78,11967773.78,11967773.78,0.0,11.968,0.0,36.92669952728069
2006-10-01,2006,10,830547,53.38,12.12,0.242,9.543,31.709055315505594,0.0,0.0,9542597.617,9542597.617,9542597.617,0.0,9.543,0.0,31.709055315505594
2006-11-01,2006,11,832859,76.37,13.54,0.271,12.005,29.870482319395578,1.089,0.864,8.425,11.027,13.887,1.425,13.43,1.425,29.870482319395578
2006-12-01,2006,12,835172,90.82,15.42,0.308,13.62,42.83573234361771,4.369,3.824,2.626,3.117,3.561,3.762000000000001,17.381999999999998,5.187,42.83573234361771
2007-01-01,2007,1,837484,88.04,18.68,0.374,23.371,51.78171215756979,8.942,8.015,2.262,2.614,2.916,5.143999999999999,28.515,10.331,51.78171215756979
2007-02-01,2007,2,839876,99.51,20.73,0.415,24.864,64.92684552886341,3.131,1.835,4.899,7.941,13.551,-5.255999999999999,19.608,5.075,64.92684552886341
2007-03-01,2007,3,842267,75.31,24.03,0.481,32.054,73.36405915512967,0.0,0.0,46.18,32054245.17,32054245.17,-4.381,27.673,0.694,73.36405915512967
2007-04-01,2007,4,844659,60.12,25.35,0.507,36.014,76.05711249750993,0.0,0.0,36013562.69,36013562.69,36013562.69,-0.694,35.32,0.0,76.05711249750993
2007-05-01,2007,5,847051,44.81,22.73,0.455,33.908,83.19922480322379,0.0,0.0,33907665.42,33907665.42,33907665.42,0.0,33.908,0.0,83.19922480322379
2007-06-01,2007,6,849442,29.82,20.59,0.412,27.969,81.65523619265832,0.0,0.0,27969469.33,27969469.33,27969469.33,0.0,27.969,0.0,81.65523619265832
2007-07-01,2007,7,851834,26.65,19.15,0.383,22.361,79.56553881412361,0.0,0.0,22361133.6,22361133.6,22361133.6,0.0,22.361,0.0,79.56553881412361
2007-08-01,2007,8,854226,24.37,15.08,0.302,17.525,82.06063495146543,0.0,0.0,17525162.09,17525162.09,17525162.09,0.0,17.525,0.0,82.06063495146543
2007-09-01,2007,9,856617,35.77,14.0,0.28,11.351,80.84836705201286,0.0,0.0,11350577.29,11350577.29,11350577.29,0.0,11.351,0.0,80.84836705201286
2007-10-01,2007,10,859009,59.2,11.9,0.238,12.041,87.54386967581269,0.0,0.0,12041289.37,12041289.37,12041289.37,0.0,12.041,0.0,87.54386967581269
2007-11-01,2007,11,861401,63.13,14.03,0.281,11.649,90.80948734518086,0.0,0.0,75.989,11648897.19,11648897.19,0.153,11.802,0.153,90.80948734518086
2007-12-01,2007,12,863792,80.17,15.3,0.306,17.122,91.37982111820611,0.929,0.664,11.566,18.423,25.777,1.327,18.449,1.48,91.37982111820611
2008-01-01,2008,1,866184,86.77,18.42,0.368,24.442,91.64009768362578,0.0,0.0,27.511,24441940.93,24441940.93,-0.592,23.85,0.888,91.64009768362578
2008-02-01,2008,2,868658,84.67,22.34,0.447,29.651,86.53966761237425,0.0,0.0,29650756.72,29650756.72,29650756.72,-0.888,28.763,0.0,86.53966761237425
2008-03-01,2008,3,871131,84.0,23.18,0.464,32.681,85.88925501601287,0.0,0.0,32681437.5,32681437.5,32681437.5,0.0,32.681,0.0,85.88925501601287
2008-04-01,2008,4,873605,50.95,23.58,0.472,36.028,80.64745425320841,0.0,0.0,36027545.67,36027545.67,36027545.67,0.0,36.028,0.0,80.64745425320841
2008-05-01,2008,5,876079,36.22,23.12,0.462,34.159,83.30245461411565,0.0,0.0,34158569.65,34158569.65,34158569.65,0.0,34.159,0.0,83.30245461411565
2008-06-01,2008,6,878552,38.35,21.56,0.431,28.015,77.9522121623462,0.0,0.0,28015100.57,28015100.57,28015100.57,0.0,28.015,0.0,77.9522121623462
2008-07-01,2008,7,881026,16.44,17.14,0.343,22.765,72.06426928814172,0.0,0.0,22765145.9,22765145.9,22765145.9,0.0,22.765,0.0,72.06426928814172
2008-08-01,2008,8,883500,32.73,15.69,0.314,15.558,65.31634684485417,0.0,0.0,15557636.02,15557636.02,15557636.02,0.0,15.558,0.0,65.31634684485417
2008-09-01,2008,9,885973,30.66,12.67,0.253,12.99,70.76841633542183,0.0,0.0,12990436.69,12990436.69,12990436.69,0.0,12.99,0.0,70.76841633542183
2008-10-01,2008,10,888447,57.95,13.04,0.261,10.159,69.76641380769628,0.0,0.0,10159341.05,10159341.05,10159341.05,0.0,10.159,0.0,69.76641380769628
2008-11-01,2008,11,890921,70.5,11.37,0.227,11.438,56.748475452288815,1.383,1.14,6.542,8.269,10.034,1.748,13.186,1.748,56.748475452288815
2008-12-01,2008,12,893394,91.25,14.69,0.294,16.347,58.41621392308669,4.078,3.539,3.345,4.008,4.619,3.14,19.487,4.888,58.41621392308669
2009-01-01,2009,1,895868,108.4,17.09,0.342,23.164,59.85257111162736,6.026,5.103,3.126,3.844,4.539,2.522,25.686,7.41,59.85257111162736
2009-02-01,2009,2,898426,77.37,20.69,0.414,30.325,57.05442629806781,4.601,3.223,4.548,6.591,9.408,-0.742,29.583,6.668,57.05442629806781
2009-03-01,2009,3,900985,84.34,23.64,0.473,33.411,52.70256291392228,0.0,0.0,33411485.49,33411485.49,33411485.49,-6.668,26.743,0.0,52.70256291392228
2009-04-01,2009,4,903543,62.38,24.14,0.483,35.172,56.2665144052454,0.0,0.0,35171820.07,35171820.07,35171820.07,0.0,35.172,0.0,56.2665144052454
2009-05-01,2009,5,906102,34.06,23.29,0.466,35.46,52.61262809536595,0.0,0.0,35460347.16,35460347.16,35460347.16,0.0,35.46,0.0,52.61262809536595
2009-06-01,2009,6,908660,10.9,21.16,0.423,29.328,52.35334504919644,0.0,0.0,29328486.44,29328486.44,29328486.44,0.0,29.328,0.0,52.35334504919644
2009-07-01,2009,7,911218,20.72,18.41,0.368,21.697,54.1507767846707,0.0,0.0,21697088.6,21697088.6,21697088.6,0.0,21.697,0.0,54.1507767846707
2009-08-01,2009,8,913777,20.06,14.56,0.291,17.573,69.3299460983132,0.0,0.0,17573452.42,17573452.42,17573452.42,0.0,17.573,0.0,69.3299460983132
2009-09-01,2009,9,916335,42.33,13.57,0.271,12.186,70.82636008206877,0.0,0.0,12186321.22,12186321.22,12186321.22,0.0,12.186,0.0,70.82636008206877
2009-10-01,2009,10,918894,60.22,12.73,0.255,9.427,78.55519896446111,0.0,0.0,9426745.302,9426745.302,9426745.302,0.0,9.427,0.0,78.55519896446111
2009-11-01,2009,11,921452,96.02,13.34,0.267,12.541,86.2027789488308,2.585,2.332,4.231,4.851,5.377,2.964,15.505,2.964,86.2027789488308
2009-12-01,2009,12,924011,92.25,15.66,0.313,17.356,92.03188031296365,9.336,8.68,1.682,1.859,2.0,7.356,24.712000000000003,10.32,92.03188031296365
2010-01-01,2010,1,926569,89.77,18.51,0.37,24.182,93.92041094438069,10.458,9.414,2.011,2.312,2.569,1.7029999999999994,25.885,12.023,93.92041094438069
2010-02-01,2010,2,929215,96.43,22.72,0.454,30.785,80.92137867384619,4.19,2.77,4.87,7.347,11.115,-5.702,25.083,6.321,80.92137867384619
2010-03-01,2010,3,931861,82.2,23.44,0.469,33.414,80.0106337860164,0.0,0.0,33413674.16,33413674.16,33413674.16,-6.321,27.093000000000004,0.0,80.0106337860164
2010-04-01,2010,4,934507,73.59,24.09,0.482,36.703,78.85922387149695,0.0,0.0,36702619.87,36702619.87,36702619.87,0.0,36.703,0.0,78.85922387149695
2010-05-01,2010,5,937153,48.35,22.97,0.459,34.267,79.60666655231948,0.0,0.0,34267082.55,34267082.55,34267082.55,0.0,34.267,0.0,79.60666655231948
2010-06-01,2010,6,939799,28.93,20.58,0.412,29.325,77.02158406883687,0.0,0.0,29325114.94,29325114.94,29325114.94,0.0,29.325,0.0,77.02158406883687
2010-07-01,2010,7,942446,34.63,17.43,0.349,24.295,76.21185043437205,0.0,0.0,24294710.84,24294710.84,24294710.84,0.0,24.295,0.0,76.21185043437205
2010-08-01,2010,8,945092,13.47,14.68,0.294,18.628,76.55172953956168,0.0,0.0,18627673.2,18627673.2,18627673.2,0.0,18.628,0.0,76.55172953956168
2010-09-01,2010,9,947738,33.6,13.05,0.261,13.985,72.12173167905716,0.0,0.0,13984879.58,13984879.58,13984879.58,0.0,13.985,0.0,72.12173167905716
2010-10-01,2010,10,950384,50.73,12.53,0.251,11.572,61.841559452719544,0.0,0.0,11571555.57,11571555.57,11571555.57,0.0,11.572,0.0,61.841559452719544
2010-11-01,2010,11,953030,76.1,13.14,0.263,12.232,76.87444128922084,0.0,0.0,12232203.33,12232203.33,12232203.33,0.0,12.232,0.0,76.87444128922084
2010-12-01,2010,12,955676,80.87,14.76,0.295,17.446,82.70214762445191,3.007,2.687,5.004,5.802,6.492,3.486,20.932,3.486,82.70214762445191
2011-01-01,2011,1,958322,106.35,18.96,0.379,24.508,80.03765961241947,1.74,1.08,8.982,14.089,22.688,-0.758,23.75,2.728,80.03765961241947
2011-02-01,2011,2,961059,92.42,21.85,0.437,30.421,79.61125996258703,0.0,0.0,174.039,30420577.35,30420577.35,-2.5530000000000004,27.868,0.175,79.61125996258703
2011-03-01,2011,3,963796,65.29,23.41,0.468,34.98,70.46331106108191,0.0,0.0,34979985.96,34979985.96,34979985.96,-0.175,34.805,0.0,70.46331106108191
2011-04-01,2011,4,966532,49.84,23.87,0.477,37.28,65.5529979639538,0.0,0.0,37280201.26,37280201.26,37280201.26,0.0,37.28,0.0,65.5529979639538
2011-05-01,2011,5,969269,43.14,23.91,0.478,34.727,61.162674554937894,0.0,0.0,34726694.08,34726694.08,34726694.08,0.0,34.727,0.0,61.162674554937894
2011-06-01,2011,6,972006,33.74,21.46,0.429,29.109,63.27875418480026,0.0,0.0,29108905.95,29108905.95,29108905.95,0.0,29.109,0.0,63.27875418480026
2011-07-01,2011,7,974742,39.97,17.32,0.346,23.188,66.21791145732035,0.0,0.0,23187705.09,23187705.09,23187705.09,0.0,23.188,0.0,66.21791145732035
2011-08-01,2011,8,977479,54.5,15.28,0.306,17.708,75.18146325010916,0.0,0.0,17708473.65,17708473.65,17708473.65,0.0,17.708,0.0,75.18146325010916
2011-09-01,2011,9,980216,44.14,13.32,0.266,12.243,72.41467096668651,0.0,0.0,12242882.71,12242882.71,12242882.71,0.0,12.243,0.0,72.41467096668651
2011-10-01,2011,10,982953,50.1,11.7,0.234,10.275,67.811624080553,0.0,0.0,10275230.56,10275230.56,10275230.56,0.0,10.275,0.0,67.811624080553
2011-11-01,2011,11,985690,58.68,13.27,0.265,12.763,67.08691458568218,0.0,0.0,1002.155,12762554.76,12762554.76,0.013,12.776,0.013,67.08691458568218
2011-12-01,2011,12,988426,97.32,14.31,0.286,16.908,72.6497154484289,0.0,0.0,16908317.67,16908317.67,16908317.67,-0.013,16.895,0.0,72.6497154484289
2012-01-01,2012,1,991163,91.87,19.3,0.386,24.48,72.39832284438172,2.629,2.22,7.55,9.311,11.025,3.242,27.722,3.242,72.39832284438172
2012-02-01,2012,2,993994,90.49,22.23,0.445,30.888,65.21202997617608,0.0,0.0,30888245.18,30888245.18,30888245.18,-3.242,27.646,0.0,65.21202997617608
2012-03-01,2012,3,996824,73.88,23.38,0.468,33.673,62.46171900103391,0.0,0.0,33673353.4,33673353.4,33673353.4,0.0,33.673,0.0,62.46171900103391
2012-04-01,2012,4,999655,58.59,24.61,0.492,38.721,60.93163347037772,0.0,0.0,38720569.92,38720569.92,38720569.92,0.0,38.721,0.0,60.93163347037772
2012-05-01,2012,5,1002485,50.66,21.87,0.437,34.57,54.56242308934503,0.0,0.0,34570094.47,34570094.47,34570094.47,0.0,34.57,0.0,54.56242308934503
2012-06-01,2012,6,1005316,26.93,20.55,0.411,28.762,41.26140746346162,0.0,0.0,28762131.33,28762131.33,28762131.33,0.0,28.762,0.0,41.26140746346162
2012-07-01,2012,7,1008146,18.41,18.15,0.363,23.256,34.15562383954972,0.0,0.0,23255994.59,23255994.59,23255994.59,0.0,23.256,0.0,34.15562383954972
2012-08-01,2012,8,1010977,15.0,14.61,0.292,16.51,39.95028458265539,0.0,0.0,16510201.91,16510201.91,16510201.91,0.0,16.51,0.0,39.95028458265539
2012-09-01,2012,9,1013808,23.25,13.66,0.273,12.503,44.25712182454561,0.0,0.0,12503339.15,12503339.15,12503339.15,0.0,12.503,0.0,44.25712182454561
2012-10-01,2012,10,1016638,55.14,13.76,0.275,10.432,42.61683141055609,0.0,0.0,10431913.78,10431913.78,10431913.78,0.0,10.432,0.0,42.61683141055609
2012-11-01,2012,11,1019469,79.46,12.34,0.247,12.032,49.20718679065673,0.524,0.293,13.803,22.948,41.101,0.872,12.904,0.872,49.20718679065673
2012-12-01,2012,12,1022299,112.32,14.77,0.295,17.999,58.16983364627576,4.432,3.867,3.409,4.061,4.655,4.408,22.407,5.28,58.16983364627576
2013-01-01,2013,1,1025130,101.3,18.55,0.371,24.348,72.51102535468016,9.017,7.98,2.303,2.7,3.051,5.293,29.641,10.573,72.51102535468016
2013-02-01,2013,2,1028058,104.47,22.52,0.45,30.96,79.25019055832715,4.933,3.471,4.344,6.276,8.92,-3.4460000000000006,27.514,7.127,79.25019055832715
2013-03-01,2013,3,1030985,75.01,22.73,0.455,36.131,62.78813658633193,0.0,0.0,36131194.67,36131194.67,36131194.67,-7.127,29.004,0.0,62.78813658633193
2013-04-01,2013,4,1033913,48.15,24.56,0.491,37.881,60.93427163635955,0.0,0.0,37881350.19,37881350.19,37881350.19,0.0,37.881,0.0,60.93427163635955
2013-05-01,2013,5,1036840,30.35,24.86,0.497,33.962,59.69550300596251,0.0,0.0,33961783.68,33961783.68,33961783.68,0.0,33.962,0.0,59.69550300596251
2013-06-01,2013,6,1039768,18.11,20.23,0.405,30.251,60.033717248241636,0.0,0.0,30251177.9,30251177.9,30251177.9,0.0,30.251,0.0,60.033717248241636
